movie_title,genre
A Splash of Love,"Comedy, Romance"
The Grey Man,"Biography, Crime, Drama"
Descendants,"Comedy, Family, Fantasy"
Teen Wolf: The Movie,"Action, Comedy, Drama"
High School Musical,"Comedy, Drama, Family"
Persuasion,"Action, Drama, Family"
Z-O-M-B-I-E-S,"Family, Musical, Romance"
14 Love Letters,Romance
Perry Mason: The Case of the Poisoned Pen,"Crime, Drama, Mystery"
Descendants 3,"Action, Adventure, Drama"
Monster High,"Action, Adventure, Fantasy"
Cinderella,"Family, Fantasy, Musical"
Cleveland Abduction,"Biography, Crime, Drama"
Descendants 2,"Action, Adventure, Family"
Z-O-M-B-I-E-S 2,"Comedy, Musical, Romance"
Gia,"Biography, Drama, Romance"
Blue Lagoon: The Awakening,"Drama, Romance"
Elvis,"Biography, Drama, Music"
Mrs. 'Arris Goes to Paris,Drama
The Assault,"Crime, Drama, Mystery"
Conagher,"Drama, Western"
Jongens,"Drama, Romance, Sport"
Lies Between Friends,Thriller
Wonder Woman,"Action, Adventure, Fantasy"
Sharknado,"Action, Adventure, Comedy"
Ray Donovan: The Movie,Drama
Gunsmoke: Return to Dodge,"Adventure, Western"
Christmas in Toyland,"Comedy, Romance"
High School Musical 2,"Comedy, Drama, Family"
Threads,"Drama, Sci-Fi, Thriller"
A Very Merry Bridesmaid,"Drama, Romance"
Believe Me: The Abduction of Lisa McVey,"Biography, Crime, Drama"
Duel,"Action, Thriller"
Das Privileg,"Drama, Horror, Mystery"
Teen Beach Movie,"Comedy, Family, Fantasy"
A Royal Runaway Romance,"Comedy, Romance"
Deadwood,"Drama, Western"
Perry Mason: The Case of the Sinister Spirit,"Crime, Drama, Mystery"
An Unexpected Christmas,Romance
Histoire immortelle,Drama
Camp Rock,"Comedy, Drama, Family"
My Christmas Family Tree,"Drama, Romance"
Buried in Barstow,"Action, Drama, Thriller"
A Mother's Nightmare,"Crime, Mystery, Thriller"
Help,Drama
The Day After,"Drama, Sci-Fi"
The Saint,"Action, Adventure, Crime"
The Little Mermaid Live!,"Animation, Adventure, Comedy"
A Glenbrooke Christmas,"Drama, Romance"
L.A. Takedown,"Action, Crime, Drama"
"Mom, Dad and Her",Drama
My Grown-Up Christmas List,"Comedy, Romance"
"Love, Classified","Comedy, Family, Romance"
Red River,Western
The Rocky Horror Picture Show: Let's Do the Time Warp Again,"Comedy, Romance"
Psych 3: This Is Gus,"Comedy, Family, Fantasy"
Wish Upon a Star,"Adventure, Comedy, Family"
Adventures in Babysitting,"Comedy, Sport"
Tour de Pharmacy,"Drama, Music, Romance"
LelleBelle,"Biography, Drama"
Temple Grandin,"Drama, Mystery"
Suitcase Killer: The Melanie McGuire Story,"Adventure, Comedy, Family"
Halloweentown,Thriller
Sinister Stepsister,"Crime, Drama, Mystery"
Miss Marple: A Pocketful of Rye,Drama
Cruel Intentions,"Comedy, Drama, Family"
Lemonade Mouth,"Biography, Drama, Family"
Gleason,"Action, Adventure, Comedy"
The Librarian: Quest for the Spear,"Fantasy, History, Romance"
The Selection,Comedy
Mean Girls 2,"Comedy, Drama, Romance"
Christmas Under Wraps,Romance
Christmas at Castle Hart,"Drama, Romance"
Northanger Abbey,"Romance, Western"
The Shadow Riders,"Drama, Romance"
Lady Chatterley's Lover,"Biography, Drama, History"
Conspiracy,"Action, Adventure, Comedy"
Kim Possible,Romance
Christmas Made to Order,"Biography, Drama"
Gifted Hands: The Ben Carson Story,"Comedy, Romance"
The 27-Hour Day,Drama
Full Body Massage,"Drama, Family, Sport"
Brink!,"Biography, Crime, Drama"
The Wizard of Lies,"Adventure, Comedy, Family"
Zenon: Girl of the 21st Century,"Comedy, Musical, Romance"
Grease Live!,"Biography, Crime, Drama"
Gotti,"Action, Adventure, Fantasy"
The Dark Tower,"Action, Crime, Drama"
Seal Team Six: The Raid on Osama Bin Laden,"Biography, Drama"
Norma Jean & Marilyn,"Animation, Comedy"
South Park: The Streaming Wars Part 2,"Biography, Crime, Drama"
No One Would Tell,Thriller
Deadly Suspicion,"Comedy, Family, Romance"
Christmas with the Darlings,"Family, Fantasy, Musical"
Roadhouse Romance,Horror
The Watcher in the Woods,"Action, Adventure, Comedy"
Sharknado 5: Global Swarming,"Comedy, Drama, Family"
Crown for Christmas,"Comedy, Romance"
Moriah's Lighthouse,"Comedy, Drama, Romance"
Emma,Thriller
